Length (m),Error in Length (m),Number of Oscillations,Time (s),Error in Time (s),Value of g (m/s²),Error (%)
0.8,0.001,20,35.85,0.2,9.8142,1.241
0.9,0.001,20,38.04,0.2,9.8105,1.163
1.0,0.001,20,40.1,0.2,9.8087,1.098
1.1,0.001,20,42.06,0.2,9.8051,1.042
1.0,0.001,20,40.1,0.2,9.8204,1.0975
